date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-03-16,33.0,33.47,26.06,27.5,16931889,33.0,33.47,26.06,27.5,16931889,0.0,1.0
2018-03-19,27.9,31.5,26.75,31.45,5892131,27.9,31.5,26.75,31.45,5892131,0.0,1.0
2018-03-20,30.38,30.904,28.07,28.41,3262038,30.38,30.904,28.07,28.41,3262038,0.0,1.0
2018-03-21,31.08,34.83,29.29,30.79,4460935,31.08,34.83,29.29,30.79,4460935,0.0,1.0
2018-03-22,29.83,31.88,28.56,30.0,3239508,29.83,31.88,28.56,30.0,3239508,0.0,1.0
2018-03-23,29.43,30.45,28.6,30.31,1247139,29.43,30.45,28.6,30.31,1247139,0.0,1.0
2018-03-26,27.83,30.9378,27.3,30.63,1916674,27.83,30.9378,27.3,30.63,1916674,0.0,1.0
2018-03-27,27.75,28.599,26.6,28.0,1719509,27.75,28.599,26.6,28.0,1719509,0.0,1.0
2018-03-28,27.53,28.19,27.0,27.35,825073,27.53,28.19,27.0,27.35,825073,0.0,1.0
2018-03-29,28.07,28.455,26.8,27.75,1137560,28.07,28.455,26.8,27.75,1137560,0.0,1.0
2018-04-02,27.06,28.66,26.807,27.9,786724,27.06,28.66,26.807,27.9,786724,0.0,1.0
2018-04-03,26.8,27.19,26.5,27.13,787493,26.8,27.19,26.5,27.13,787493,0.0,1.0
2018-04-04,27.97,28.95,26.32,26.35,1023806,27.97,28.95,26.32,26.35,1023806,0.0,1.0
2018-04-05,28.53,29.15,27.97,28.61,1210399,28.53,29.15,27.97,28.61,1210399,0.0,1.0
2018-04-06,28.22,29.6632,28.05,28.32,737506,28.22,29.6632,28.05,28.32,737506,0.0,1.0
2018-04-09,26.54,28.7,26.5,28.47,934909,26.54,28.7,26.5,28.47,934909,0.0,1.0
2018-04-10,28.07,28.5,26.84,27.06,1068731,28.07,28.5,26.84,27.06,1068731,0.0,1.0
2018-04-11,27.71,29.46,27.4,28.03,795273,27.71,29.46,27.4,28.03,795273,0.0,1.0
2018-04-12,27.96,28.59,27.775,27.81,258901,27.96,28.59,27.775,27.81,258901,0.0,1.0
2018-04-13,27.48,28.7,27.03,28.7,418341,27.48,28.7,27.03,28.7,418341,0.0,1.0
2018-04-16,28.99,29.0,27.565,27.89,401086,28.99,29.0,27.565,27.89,401086,0.0,1.0
2018-04-17,28.75,29.9729,28.63,29.31,951462,28.75,29.9729,28.63,29.31,951462,0.0,1.0
2018-04-18,28.65,29.0,28.0,28.96,377663,28.65,29.0,28.0,28.96,377663,0.0,1.0
2018-04-19,28.03,28.945,27.75,28.65,265498,28.03,28.945,27.75,28.65,265498,0.0,1.0
2018-04-20,27.22,28.23,27.03,28.05,522660,27.22,28.23,27.03,28.05,522660,0.0,1.0
2018-04-23,26.86,27.58,26.5,27.2,626825,26.86,27.58,26.5,27.2,626825,0.0,1.0
