date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-09-30,9.5,11.42,9.11,10.0,338584433,9.5,11.42,9.11,10.0,338584433,0.0,1.0
2020-10-01,9.46,10.1,9.23,9.69,124297587,9.46,10.1,9.23,9.69,124297587,0.0,1.0
2020-10-02,9.2,9.28,8.94,9.06,55018343,9.2,9.28,8.94,9.06,55018343,0.0,1.0
2020-10-05,9.03,9.49,8.92,9.43,36316878,9.03,9.49,8.92,9.43,36316878,0.0,1.0
2020-10-06,9.9,10.18,8.9,9.04,90864039,9.9,10.18,8.9,9.04,90864039,0.0,1.0
2020-10-07,10.0,10.49,9.99,10.04,54672419,10.0,10.49,9.99,10.04,54672419,0.0,1.0
2020-10-08,10.0,10.4,9.99,10.29,34989186,10.0,10.4,9.99,10.29,34989186,0.0,1.0
2020-10-09,9.95,10.19,9.89,10.13,19653450,9.95,10.19,9.89,10.13,19653450,0.0,1.0
2020-10-12,9.89,10.05,9.66,10.04,20623565,9.89,10.05,9.66,10.04,20623565,0.0,1.0
2020-10-13,9.47,9.88,9.41,9.88,21847177,9.47,9.88,9.41,9.88,21847177,0.0,1.0
2020-10-14,9.34,9.66,9.29,9.6,13785097,9.34,9.66,9.29,9.6,13785097,0.0,1.0
2020-10-15,9.91,9.91,9.18,9.27,12924093,9.91,9.91,9.18,9.27,12924093,0.0,1.0
2020-10-16,9.71,9.95,9.66,9.94,11142464,9.71,9.95,9.66,9.94,11142464,0.0,1.0
2020-10-19,9.57,9.82,9.53,9.79,9126352,9.57,9.82,9.53,9.79,9126352,0.0,1.0
2020-10-20,9.27,9.66,9.27,9.6,11138223,9.27,9.66,9.27,9.6,11138223,0.0,1.0
2020-10-21,9.2,9.48,9.2,9.3,9189978,9.2,9.48,9.2,9.3,9189978,0.0,1.0
2020-10-22,9.68,9.75,9.22,9.37,17928578,9.68,9.75,9.22,9.37,17928578,0.0,1.0
2020-10-23,9.49,9.83,9.47,9.71,12618010,9.49,9.83,9.47,9.71,12618010,0.0,1.0
2020-10-26,9.95,9.97,9.6,9.72,23767344,9.95,9.97,9.6,9.72,23767344,0.0,1.0
2020-10-27,10.95,11.04,9.92,10.0,53695925,10.95,11.04,9.92,10.0,53695925,0.0,1.0
2020-10-28,10.85,10.985,10.1,10.66,30941720,10.85,10.985,10.1,10.66,30941720,0.0,1.0
2020-10-29,10.75,11.1,10.56,10.9,20515706,10.75,11.1,10.56,10.9,20515706,0.0,1.0
2020-10-30,10.13,10.68,9.85,10.61,19728372,10.13,10.68,9.85,10.61,19728372,0.0,1.0
2020-11-02,10.54,10.57,10.23,10.23,11677845,10.54,10.57,10.23,10.23,11677845,0.0,1.0
2020-11-03,10.5,10.94,10.44,10.57,21652807,10.5,10.94,10.44,10.57,21652807,0.0,1.0
2020-11-04,10.72,10.92,10.55,10.82,15783356,10.72,10.92,10.55,10.82,15783356,0.0,1.0
2020-11-05,11.88,12.13,10.85,10.9,48560380,11.88,12.13,10.85,10.9,48560380,0.0,1.0
2020-11-06,13.83,14.96,12.05,12.22,89977555,13.83,14.96,12.05,12.22,89977555,0.0,1.0
2020-11-09,14.67,15.9,14.11,14.96,60098963,14.67,15.9,14.11,14.96,60098963,0.0,1.0
2020-11-10,14.0,15.01,13.18,14.99,38078742,14.0,15.01,13.18,14.99,38078742,0.0,1.0
2020-11-11,15.96,15.97,14.4,14.57,47027940,15.96,15.97,14.4,14.57,47027940,0.0,1.0
2020-11-12,14.58,17.06,14.41,16.66,99287571,14.58,17.06,14.41,16.66,99287571,0.0,1.0
2020-11-13,15.8,16.0,14.49,14.49,76622565,15.8,16.0,14.49,14.49,76622565,0.0,1.0
2020-11-16,15.93,16.1,15.01,15.96,65325988,15.93,16.1,15.01,15.96,65325988,0.0,1.0
2020-11-17,17.85,18.75,16.18,16.29,116618543,17.85,18.75,16.18,16.29,116618543,0.0,1.0
2020-11-18,17.9,19.25,17.54,18.28,89957892,17.9,19.25,17.54,18.28,89957892,0.0,1.0
2020-11-19,18.98,18.98,17.96,18.5,56225400,18.98,18.98,17.96,18.5,56225400,0.0,1.0
2020-11-20,18.15,19.66,18.0,19.03,72103988,18.15,19.66,18.0,19.03,72103988,0.0,1.0
2020-11-23,21.04,21.45,18.57,18.63,84716298,21.04,21.45,18.57,18.63,84716298,0.0,1.0
2020-11-24,23.82,24.27,20.63,22.35,114420985,23.82,24.27,20.63,22.35,114420985,0.0,1.0
2020-11-25,29.05,29.75,23.69,23.96,202563731,29.05,29.75,23.69,23.96,202563731,0.0,1.0
2020-11-27,27.66,33.5,26.12,31.19,207834002,27.66,33.5,26.12,31.19,207834002,0.0,1.0
2020-11-30,27.11,30.15,24.11,28.24,137243001,27.11,30.15,24.11,28.24,137243001,0.0,1.0
2020-12-01,25.67,28.14,24.45,28.09,83663065,25.67,28.14,24.45,28.09,83663065,0.0,1.0
2020-12-02,22.51,23.4,21.15,22.24,149062083,22.51,23.4,21.15,22.24,149062083,0.0,1.0
2020-12-03,24.03,25.62,23.5,23.55,85634262,24.03,25.62,23.5,23.55,85634262,0.0,1.0
2020-12-04,23.85,25.24,23.51,24.88,56044061,23.85,25.24,23.51,24.88,56044061,0.0,1.0
2020-12-07,28.94,29.0,24.44,24.44,118463662,28.94,29.0,24.44,24.44,118463662,0.0,1.0
2020-12-08,28.59,31.24,27.25,30.63,124754317,28.59,31.24,27.25,30.63,124754317,0.0,1.0
2020-12-09,26.63,28.85,25.33,28.68,79634716,26.63,28.85,25.33,28.68,79634716,0.0,1.0
2020-12-10,27.04,28.04,25.15,25.5412,57774823,27.04,28.04,25.15,25.5412,57774823,0.0,1.0
2020-12-11,27.2,28.27,26.06,27.15,52764350,27.2,28.27,26.06,27.15,52764350,0.0,1.0
2020-12-14,27.24,28.26,26.7301,28.26,44734521,27.24,28.26,26.7301,28.26,44734521,0.0,1.0
2020-12-15,26.43,27.1,25.52,26.82,49273241,26.43,27.1,25.52,26.82,49273241,0.0,1.0
2020-12-16,25.92,26.16,25.11,25.71,44013392,25.92,26.16,25.11,25.71,44013392,0.0,1.0
2020-12-17,27.23,27.45,26.05,26.52,53829804,27.23,27.45,26.05,26.52,53829804,0.0,1.0
2020-12-18,25.97,26.85,25.8,26.27,71042932,25.97,26.85,25.8,26.27,71042932,0.0,1.0
2020-12-21,28.51,28.7,25.4,26.19,76729131,28.51,28.7,25.4,26.19,76729131,0.0,1.0
